,solubility_category
1242,theta
1243,soluble
1244,soluble
1245,non-soluble
1246,soluble
1247,soluble
1248,soluble
1249,soluble
1250,soluble
1251,soluble
1252,soluble
1253,soluble
1254,soluble
1255,soluble
1256,soluble
1257,soluble
1258,soluble
1259,soluble
1260,soluble
1261,soluble
1262,soluble
1263,soluble
1264,soluble
1265,soluble
1266,soluble
1267,soluble
1268,non-soluble
1269,soluble
1270,theta
1271,non-soluble
1272,soluble
1273,soluble
1274,non-soluble
1275,soluble
1276,soluble
1277,soluble
1278,soluble
1279,soluble
1280,soluble
1281,soluble
1282,soluble
1283,soluble
1284,theta
1285,non-soluble
1286,soluble
1287,non-soluble
1288,soluble
1289,soluble
1290,soluble
1291,soluble
1292,soluble
1293,soluble
1294,soluble
1295,soluble
1296,soluble
1297,soluble
1298,soluble
1299,soluble
1300,soluble
1301,theta
1302,non-soluble
1303,soluble
1304,soluble
1305,non-soluble
1306,non-soluble
1307,soluble
1308,non-soluble
1309,soluble
1310,soluble
1311,soluble
1312,soluble
1313,soluble
1314,soluble
1315,soluble
1316,soluble
1317,soluble
1318,soluble
1319,soluble
1320,soluble
1321,soluble
1322,non-soluble
1323,non-soluble
1324,non-soluble
1325,non-soluble
1326,non-soluble
1327,non-soluble
1328,soluble
1329,theta
1330,soluble
1331,soluble
1332,non-soluble
1333,soluble
1334,non-soluble
1335,soluble
1336,non-soluble
1337,theta
1338,non-soluble
1339,theta
1340,theta
1341,theta
1342,non-soluble
1343,non-soluble
1344,theta
1345,non-soluble
1346,non-soluble
1347,non-soluble
1348,non-soluble
1349,non-soluble
1350,non-soluble
1351,theta
1352,theta
1353,non-soluble
1354,non-soluble
1355,soluble
1356,non-soluble
1357,soluble
1358,soluble
1359,soluble
1360,non-soluble
1361,non-soluble
1362,non-soluble
1363,non-soluble
1364,non-soluble
1365,non-soluble
1366,non-soluble
1367,non-soluble
1368,non-soluble
1369,non-soluble
1370,non-soluble
1371,theta
1372,non-soluble
1373,non-soluble
1374,soluble
1375,soluble
1376,theta
1377,soluble
1378,soluble
1379,soluble
1380,soluble
1381,soluble
1382,soluble
1383,soluble
1384,soluble
1385,soluble
1386,non-soluble
1387,non-soluble
1388,soluble
1389,non-soluble
1390,non-soluble
1391,theta
1392,soluble
1393,soluble
1394,soluble
1395,soluble
1396,soluble
1397,theta
1398,non-soluble
1399,non-soluble
1400,soluble
1401,soluble
1402,soluble
1403,soluble
1404,soluble
1405,soluble
1406,non-soluble
1407,non-soluble
1408,non-soluble
1409,non-soluble
1410,non-soluble
1411,non-soluble
1412,theta
1413,soluble
1414,soluble
1415,non-soluble
1416,soluble
1417,non-soluble
1418,soluble
1419,non-soluble
1420,soluble
1421,non-soluble
1422,theta
1423,theta
1424,non-soluble
1425,non-soluble
1426,non-soluble
1427,non-soluble
1428,non-soluble
1429,non-soluble
